ID        	Form      	PLemma    	PPOS      	PHead     	PDeprel   	Pred      	Args      	vn-pb     	

1         	Jhon      	_         	NNP       	2         	SBJ       	_         	_         	_    
2         	is        	be        	VBZ       	0         	ROOT      	_         	_         	_    
3         	hungry    	hungry    	JJ        	2         	PRD       	_         	_         	_    
4         	.         	_         	.         	2         	P         	_         	_         	_    

1         	Jhon      	_         	NNP       	2         	SBJ       	_         	A1        	47.7:Theme;51.1:Theme;
2         	goes      	go        	VBZ       	0         	ROOT      	go.01     	_         	47.7;51.1;
3         	to        	_         	TO        	2         	DIR       	_         	A4        	_    
4         	the       	_         	DT        	5         	NMOD      	_         	_         	_    
5         	kitchen   	kitchen   	NN        	3         	PMOD      	_         	_         	_    
6         	.         	_         	.         	2         	P         	_         	_         	_    

1         	Jhon      	_         	NNP       	2         	SBJ       	_         	A0        	10.5-1:Agent;13.5.2:Agent;15.1-1:Agent;
2         	grabbed   	grab      	VBD       	0         	ROOT      	grab.01   	_         	10.5-1;13.5.2;15.1-1;
3         	the       	_         	DT        	4         	NMOD      	_         	_         	_    
4         	apple     	apple     	NN        	2         	OBJ       	_         	A1        	10.5-1:Theme;13.5.2:Theme;15.1-1:Theme;
5         	there     	_         	RB        	2         	LOC       	_         	AM-LOC    	_    
6         	.         	_         	.         	2         	P         	_         	_         	_    

1         	Daniel    	_         	NNP       	2         	SBJ       	_         	_         	_    
2         	is        	be        	VBZ       	0         	ROOT      	_         	_         	_    
3         	hungry    	hungry    	JJ        	2         	PRD       	_         	_         	_    
4         	.         	_         	.         	2         	P         	_         	_         	_    
